name,n,m,d,c,t,s,x
../network-corpus/networks/iscas89-s344.txt.gz,100,122,2,5,0.3,d,x
../network-corpus/networks/iscas89-s349.txt.gz,102,127,2,5,0.4,d,x
../network-corpus/networks/iscas89-s35932.txt.gz,12515,15961,2,2,2799.9,d,x
../network-corpus/networks/iscas89-s382.txt.gz,116,168,2,5,0.5,d,x
../network-corpus/networks/iscas89-s38417.txt.gz,9500,10635,4,12,14.2,d,x
../network-corpus/networks/iscas89-s38584.txt.gz,9193,12573,4,13,11.5,d,x
../network-corpus/networks/iscas89-s386.txt.gz,114,200,3,13,0.5,d,x
../network-corpus/networks/iscas89-s400.txt.gz,121,182,2,5,0.6,d,x
../network-corpus/networks/iscas89-s420.1.txt.gz,129,145,2,3,0.4,d,x
../network-corpus/networks/iscas89-s444.txt.gz,134,206,2,5,0.5,d,x
../network-corpus/networks/iscas89-s510.txt.gz,172,251,2,3,0.6,d,x
../network-corpus/networks/iscas89-s526n.txt.gz,159,268,3,9,0.6,d,x
../network-corpus/networks/iscas89-s526.txt.gz,160,270,3,9,0.6,d,x
../network-corpus/networks/iscas89-s5378.txt.gz,1411,1639,3,5,5.3,d,x
../network-corpus/networks/iscas89-s641.txt.gz,100,144,3,7,0.4,d,x
../network-corpus/networks/iscas89-s713.txt.gz,137,180,3,7,0.5,d,x
../network-corpus/networks/iscas89-s820.txt.gz,239,480,3,16,1.1,d,x
../network-corpus/networks/iscas89-s832.txt.gz,245,498,3,19,1.2,d,x
../network-corpus/networks/iscas89-s838.1.txt.gz,265,301,2,3,0.7,d,x
../network-corpus/networks/iscas89-s9234.txt.gz,1985,2370,4,10,7.1,d,x
../network-corpus/networks/iscas89-s953.txt.gz,332,454,2,4,1.0,d,x
../network-corpus/networks/jazz.txt.gz,199,2742,29,42,17.5,d,x
../network-corpus/networks/JDK_dependency.txt.gz,6435,53658,65,707,41.8,d,x
../network-corpus/networks/JUNG-javax.txt.gz,6120,50290,65,619,38.9,d,x
../network-corpus/networks/karate.txt.gz,34,78,4,7,0.3,d,x
../network-corpus/networks/lederberg.txt.gz,8324,41532,15,175,51.1,d,x
../network-corpus/networks/lesmiserables.txt.gz,77,254,9,9,0.8,d,x
../network-corpus/networks/link-pedigree.txt.gz,898,1125,2,14,3.1,d,x
../network-corpus/networks/linux.txt.gz,30834,213217,23,4836,3946.5,d,x
../network-corpus/networks/livemocha.txt.gz,104104,2193083,92,1129,52801.5,d,x
../network-corpus/networks/location.txt.gz,225486,293697,5,854,486.3,d,x
../network-corpus/networks/loc-brightkite_edges.txt.gz,58228,214078,52,184,213.7,d,x
../network-corpus/networks/mag_geology_coauthor.txt.gz,2852295,4448428,13,193,3205.6,d,x
../network-corpus/networks/marvel.txt.gz,19429,96662,18,745,204.2,d,x
../network-corpus/networks/mg_casino.txt.gz,109,326,9,8,0.9,c,x
../network-corpus/networks/mg_forrestgump.txt.gz,94,271,8,4,1.7,c,x
../network-corpus/networks/mg_godfatherII.txt.gz,78,219,8,9,0.6,d,x
../network-corpus/networks/mg_watchmen.txt.gz,76,201,7,6,0.7,c,x
../network-corpus/networks/minnesota.txt.gz,2642,3303,2,3,8.3,d,x
../network-corpus/networks/moreno_health.txt.gz,2539,10455,7,17,20.5,d,x
../network-corpus/networks/mousebrain.txt.gz,213,16089,111,179,37.5,d,x
../network-corpus/networks/movielens_1m.txt.gz,9746,1000209,221,2356,12513.7,d,x
../network-corpus/networks/movies.txt.gz,101,192,3,6,0.5,d,x
../network-corpus/networks/muenchen-bahn.txt.gz,447,578,2,2,11.7,d,x
../network-corpus/networks/munin.txt.gz,1324,1397,3,29,4.2,d,x
../network-corpus/networks/netscience.txt.gz,1461,2742,19,6,28.4,c,x
../network-corpus/networks/Noordin-terror-loc.txt.gz,127,190,3,7,0.5,d,x
../network-corpus/networks/Noordin-terror-orgas.txt.gz,129,181,3,11,0.5,d,x
../network-corpus/networks/Noordin-terror-relation.txt.gz,70,251,11,11,1.0,d,x
../network-corpus/networks/NYClimateMarch2014.txt.gz,102378,327080,34,1037,2548.4,d,x
../network-corpus/networks/NZ_legal.txt.gz,2141,15739,25,129,44.1,d,x
../network-corpus/networks/ODLIS.txt.gz,2900,16377,12,86,40.8,d,x
../network-corpus/networks/offshore.txt.gz,278877,505965,13,5698,479.2,d,x
../network-corpus/networks/openflights.txt.gz,2940,15677,28,111,33.1,d,x
../network-corpus/networks/Opsahl-forum.txt.gz,899,7036,14,38,32.4,d,x
../network-corpus/networks/Opsahl-socnet.txt.gz,1899,13838,20,112,44.0,d,x
../network-corpus/networks/p2p-Gnutella04.txt.gz,10876,39994,7,29,32.1,d,x
../network-corpus/networks/panama.txt.gz,556686,702437,62,1948,699.5,d,x
../network-corpus/networks/paradise.txt.gz,542102,794545,23,4242,1317.1,d,x
../network-corpus/networks/photoviz_dynamic.txt.gz,376,610,4,13,1.1,d,x
../network-corpus/networks/pigs.txt.gz,492,592,2,7,1.1,d,x
../network-corpus/networks/polblogs.txt.gz,1224,16715,36,130,49.4,d,x
../network-corpus/networks/polbooks.txt.gz,105,441,6,16,1.0,d,x
../network-corpus/networks/pollination-carlinville.txt.gz,1500,15255,18,67,45.3,d,x
../network-corpus/networks/pollination-daphni.txt.gz,797,2933,9,45,15.3,d,x
../network-corpus/networks/pollination-tenerife.txt.gz,68,129,4,11,0.4,d,x
../network-corpus/networks/pollination-uk.txt.gz,984,16712,35,202,23.9,d,x
../network-corpus/networks/ratbrain.txt.gz,503,23030,67,127,37.9,d,x
../network-corpus/networks/reactome.txt.gz,6328,147547,176,446,101.6,d,x
